sgRNA	Gene	test1.D0	test1.T14	test1.D14	test3.D0	test3.T14	test3.D14
HGLibA_43069	SCUBE1	15	9	16	8	2	9
HGLibA_18126	FTL	56	18	78	52	55	31
HGLibA_49539	TIMP2	239	253	267	296	351	291
HGLibA_38816	PRR21	62	123	55	33	57	65
HGLibA_39711	PYY	82	72	97	122	76	131
HGLibA_04688	BOLA3	164	125	143	139	155	104
HGLibA_36334	PHF10	379	317	363	441	520	421
HGLibA_52106	TTC30A	40	31	69	25	20	17
HGLibA_48998	TENM2	152	161	232	110	145	166
HGLibA_12004	CYB5R2	118	97	95	90	119	66
HGLibA_36849	PKNOX2	105	95	121	88	129	70
HGLibA_12457	DCAF8	89	89	93	129	116	64
HGLibA_20459	GSTA4	70	93	69	166	122	152
HGLibA_63809	hsa-mir-7111	217	260	177	208	272	267
HGLibA_35007	PAGE2	65	45	81	65	94	48
HGLibA_20680	GUSB	110	78	77	70	86	98
HGLibA_25058	KLF15	40	25	27	14	49	2
HGLibA_55656	ZNF24	96	99	82	135	88	72
HGLibA_33536	OR10P1	150	156	98	151	156	152
HGLibA_07137	CAP2	110	90	110	78	197	117
HGLibA_42710	SAMSN1	104	109	134	103	130	93
HGLibA_16533	FAM228A	200	154	143	230	357	143
HGLibA_21425	HIST1H2BF	45	27	30	66	134	19
HGLibA_53749	VPS25	147	60	60	108	33	23
HGLibA_58947	hsa-mir-320d-2	36	11	33	68	67	35
HGLibA_14330	E4F1	73	68	63	56	26	22
HGLibA_30290	MT1G	55	44	8	35	57	37
HGLibA_03869	AUP1	197	204	194	247	222	143
HGLibA_13334	DLG4	101	139	102	113	239	78
HGLibA_36641	PIK3CG	164	144	148	123	155	191
HGLibA_50024	TMEM161A	242	306	355	236	259	264
HGLibA_06095	C2CD4A	108	142	137	129	168	108
HGLibA_26419	LHB	108	109	155	59	133	99
HGLibA_62263	hsa-mir-5687	80	60	47	69	41	56
HGLibA_39272	PTCH2	70	87	60	143	97	75
HGLibA_29673	MORN3	151	89	106	65	106	118
HGLibA_46655	SPIB	160	201	228	173	332	181
HGLibA_27299	LRRC28	70	34	35	48	36	42
HGLibA_11845	CXCL10	33	52	42	94	81	43
HGLibA_50737	TNFRSF10B	50	57	27	50	67	18
HGLibA_43037	SCP2D1	43	66	44	46	70	35
HGLibA_20690	GYG2	223	228	199	250	189	244
HGLibA_35713	PDC	109	94	115	51	134	85
HGLibA_31873	NGF	182	175	223	180	173	198
HGLibA_31362	NCR1	128	163	185	194	197	161
HGLibA_49861	TMEM107	164	141	168	115	84	140
HGLibA_53155	UROD	59	19	76	16	90	57
HGLibA_57857	hsa-mir-146a	106	141	54	81	129	88
HGLibA_40219	RANGRF	94	126	103	105	214	109
HGLibA_26872	LOC100652824	99	114	82	171	88	145
HGLibA_54131	WDR59	113	121	115	119	104	131
HGLibA_60314	hsa-mir-4476	42	37	31	44	18	11
HGLibA_49129	TFAP2D	54	96	71	152	114	76
HGLibA_14342	EARS2	99	89	66	109	75	61
HGLibA_63468	hsa-mir-6823	86	17	65	87	79	56
HGLibA_46015	SNUPN	94	89	48	83	60	30
HGLibA_17461	FGL1	156	163	101	182	213	206
HGLibA_07420	CBR3	17	9	13	21	0	1
HGLibA_16343	FAM187B	112	80	126	149	183	115
HGLibA_18052	FRY	47	35	71	52	27	33
HGLibA_07521	CCDC105	64	27	42	45	43	69
HGLibA_44289	SKIV2L2	122	30	29	50	34	46
HGLibA_53882	VTA1	49	21	43	87	58	31
HGLibA_27046	LOXL4	114	81	127	110	50	66
HGLibA_19653	GOLM1	120	133	183	116	58	132
HGLibA_02315	AP2M1	74	94	96	112	115	81
HGLibA_60330	hsa-mir-4479	34	74	56	23	99	34
HGLibA_48556	TBC1D4	164	147	155	275	144	183
HGLibA_40985	RFXANK	56	36	42	70	98	52
HGLibA_09526	CHPF2	134	153	140	93	168	112
HGLibA_62509	hsa-mir-604	114	141	92	91	87	76
HGLibA_48984	TEKT5	215	250	220	303	245	202
HGLibA_03178	ARX	121	113	126	83	144	113
HGLibA_60028	hsa-mir-4326	15	17	12	38	94	6
HGLibA_12990	DEPTOR	115	57	89	68	117	44
HGLibA_46894	SPTLC2	156	104	107	144	177	75
HGLibA_54435	WTIP	77	158	150	76	159	128
HGLibA_05385	C15orf32	61	54	77	71	115	134
HGLibA_01544	ALDH1A2	70	87	152	72	32	31
HGLibA_00789	ADAMDEC1	65	71	30	65	18	94
HGLibA_45722	SMIM11	74	91	82	111	46	96
HGLibA_62583	hsa-mir-6081	132	91	72	114	184	66
HGLibA_27061	LPAR4	135	120	112	163	117	111
HGLibA_29707	MPC2	67	61	94	109	164	55
HGLibA_03937	AZI2	103	111	107	128	108	119
HGLibA_02848	ARHGEF33	59	37	59	23	34	26
HGLibA_50237	TMEM221	82	95	62	99	111	40
HGLibA_46859	SPSB1	147	111	107	71	109	74
HGLibA_53136	URB2	174	224	202	169	184	131
HGLibA_41741	ROBO4	60	56	51	22	137	44
HGLibA_01050	ADRA2B	89	104	70	166	91	89
HGLibA_42453	RUNDC3B	218	241	228	184	277	180
HGLibA_61658	hsa-mir-518b	105	102	80	102	217	120
HGLibA_64289	hsa-mir-92a-1	24	36	34	43	33	52
HGLibA_52919	UGT2B15	190	154	127	202	226	132
HGLibA_51349	TRDN	99	63	62	59	175	78
HGLibA_49044	TET3	122	101	129	234	176	159
HGLibA_22595	IFI27	32	27	41	26	44	39
HGLibA_23455	IPCEF1	67	85	100	70	134	103
HGLibA_31144	NARF	44	31	48	42	38	55
HGLibA_35790	PDE4B	112	120	128	100	71	57
HGLibA_44031	SHH	90	89	85	107	104	63
HGLibA_19475	GNAT2	133	96	128	128	106	94
HGLibA_12722	DDX47	114	126	105	153	157	72
HGLibA_05676	C19orf52	29	16	18	58	36	34
HGLibA_17210	FCHSD1	67	122	99	89	152	119
HGLibA_29537	MMP7	172	212	226	226	184	223
HGLibA_62485	hsa-mir-598	178	197	238	176	324	177
HGLibA_46829	SPRR4	181	131	113	160	149	110
HGLibA_08165	CCR7	23	38	53	42	126	34
HGLibA_22399	HTR5A	159	189	125	81	286	175
HGLibA_15384	EPS8L3	59	70	54	61	148	50
HGLibA_32260	NOL11	128	132	116	103	125	112
HGLibA_14942	ELMOD2	50	83	61	109	106	66
HGLibA_26788	LOC100130480	87	89	83	42	55	33
HGLibA_21960	HOXC11	111	93	120	171	184	85
HGLibA_56343	ZNF594	43	63	34	38	79	46
HGLibA_32435	NPFF	100	91	104	70	111	109
HGLibA_64124	hsa-mir-8071-1	286	336	329	339	379	333
HGLibA_48478	TBC1D14	116	129	116	83	88	171
HGLibA_05940	C1QTNF2	94	91	110	72	87	90
HGLibA_57821	hsa-mir-139	235	277	209	228	217	232
HGLibA_58341	hsa-mir-24-1	158	116	138	171	176	108
HGLibA_37627	POLR3G	104	114	76	109	94	123
HGLibA_51032	TOR4A	117	144	113	112	161	145
HGLibA_41553	RNF157	63	47	48	46	39	14
HGLibA_56530	ZNF682	20	33	40	30	14	31
HGLibA_09503	CHMP7	14	24	10	22	28	18
HGLibA_20965	HCFC2	61	54	103	120	140	106
HGLibA_39217	PSORS1C1	121	118	102	121	122	76
HGLibA_40938	RFPL4A	243	194	253	211	309	209
HGLibA_59916	hsa-mir-4301	71	19	44	81	98	68
HGLibA_59830	hsa-mir-4282	123	116	93	97	79	129
HGLibA_48638	TBRG4	183	180	148	121	186	89
HGLibA_29976	MRPL4	106	66	55	80	66	80
HGLibA_17082	FBXO36	78	30	89	66	113	56
HGLibA_64620	NonTargetingControlGuideForHuman_0237	18	17	36	38	30	25
HGLibA_60667	hsa-mir-4641	46	51	40	0	5	8
HGLibA_31260	NCAN	42	42	66	62	88	45
HGLibA_09794	CLASP1	121	127	194	74	105	113
HGLibA_44006	SHC3	26	49	9	33	81	38
HGLibA_15421	ERBB4	88	92	63	155	115	66
HGLibA_07171	CAPN6	90	98	84	91	163	92
HGLibA_52663	UBE2U	121	68	152	182	198	116
HGLibA_59854	hsa-mir-4287	112	115	138	150	228	119
HGLibA_46295	SP140L	117	183	166	232	126	134
HGLibA_50242	TMEM223	110	120	113	125	119	44
HGLibA_11375	CSN2	68	26	57	72	138	45
HGLibA_33228	OBP2B	105	94	91	189	207	98
HGLibA_26543	LIMK2	132	160	147	158	159	168
HGLibA_21499	HIST1H4E	105	114	94	120	88	94
HGLibA_24787	KIAA1586	94	92	118	83	92	71
HGLibA_41671	RNF38	21	9	14	63	41	36
HGLibA_14913	ELK1	47	58	81	80	71	129
HGLibA_05279	C12orf65	60	39	40	59	20	57
HGLibA_38429	PRELID1	93	92	94	137	130	166
HGLibA_31183	NAT8	64	85	114	38	82	114
HGLibA_45394	SLC8A3	76	101	124	119	87	90
HGLibA_13888	DPPA2	47	65	72	32	53	39
HGLibA_47254	ST5	76	76	94	138	197	80
HGLibA_16109	FAM131B	113	142	135	108	100	117
HGLibA_60684	hsa-mir-4645	137	154	146	151	80	144
HGLibA_33028	NUP155	56	6	21	61	43	45
HGLibA_03810	ATR	55	35	26	76	24	15
HGLibA_40960	RFWD3	64	93	76	113	158	69
HGLibA_03195	ASAP1	102	84	80	21	102	54
HGLibA_07835	CCDC66	122	84	107	163	110	67
HGLibA_60363	hsa-mir-4486	35	24	20	54	76	47
HGLibA_22910	IK	67	35	70	120	11	55
HGLibA_11565	CTAG2	171	119	146	185	229	133
HGLibA_17743	FNDC1	185	159	207	183	209	94
HGLibA_27526	LSM12	101	93	136	158	153	92
HGLibA_45829	SMS	110	71	54	116	191	54
HGLibA_09123	CEP19	101	76	76	64	130	91
HGLibA_21387	HIST1H2AE	17	24	25	40	17	27
HGLibA_59391	hsa-mir-374a	95	81	68	146	104	67
HGLibA_57905	hsa-mir-152	52	100	109	93	73	72
HGLibA_39674	PYCR1	35	21	7	23	29	31
HGLibA_06824	CA8	310	275	333	376	361	263
HGLibA_00292	ABI2	65	103	96	76	95	54
HGLibA_60043	hsa-mir-433	72	106	51	116	193	51
HGLibA_03891	AVIL	226	160	180	142	241	131
HGLibA_28444	MAVS	104	96	110	122	213	66
HGLibA_39097	PSMB10	106	59	100	92	30	89
HGLibA_56452	ZNF646	108	125	137	197	179	117
HGLibA_61648	hsa-mir-5189	115	97	57	181	119	36
HGLibA_00086	AATF	149	127	173	164	309	156
HGLibA_44949	SLC35A2	69	60	73	128	132	98
HGLibA_45084	SLC38A9	46	43	50	41	86	3
HGLibA_52148	TTC5	78	90	134	84	127	112
HGLibA_25610	KRTAP10-4	72	69	70	59	70	46
HGLibA_28747	MED13	94	101	66	83	143	76
HGLibA_24442	KCTD19	129	117	165	68	77	73
HGLibA_13373	DLX1	133	142	210	126	163	72
HGLibA_63711	hsa-mir-6882	127	139	174	124	144	124
HGLibA_40638	RBP4	40	33	59	45	22	35
HGLibA_15848	F11R	29	13	39	45	45	19
HGLibA_62963	hsa-mir-657	62	69	53	12	7	39
HGLibA_25966	LAMB4	90	90	86	95	135	126
HGLibA_09642	CHST6	138	128	172	235	254	173
HGLibA_16186	FAM156A	164	135	173	140	102	116
HGLibA_58325	hsa-mir-2392	75	68	79	77	24	108
HGLibA_14885	ELAVL3	86	83	45	61	174	56
HGLibA_04247	BCAR3	73	95	49	85	125	61
HGLibA_43869	SGTA	54	20	55	64	97	69
HGLibA_31222	NBPF1	142	174	70	125	57	79
HGLibA_10699	COPB2	51	16	27	52	12	40
HGLibA_34043	OR4M2	110	124	129	70	45	80
HGLibA_20204	GRAMD2	124	140	141	187	203	178
HGLibA_05614	C18orf42	163	206	131	231	219	143
HGLibA_37932	PPIG	87	126	164	125	156	99
HGLibA_55409	ZMYM6NB	262	245	237	236	389	203
HGLibA_43242	SEC31A	57	60	54	47	69	61
HGLibA_16136	FAM135B	57	52	39	41	63	46
HGLibA_44500	SLC19A2	141	150	110	78	98	97
HGLibA_51302	TRAPPC11	52	6	16	42	3	13
HGLibA_23908	JAG2	64	68	66	43	35	30
HGLibA_33577	OR11H4	78	95	99	68	27	102
HGLibA_37284	PM20D1	252	203	276	203	289	221
HGLibA_11133	CREM	98	73	74	109	149	95
HGLibA_48661	TBX21	51	53	60	66	51	49
HGLibA_55776	ZNF304	221	288	322	232	313	335
HGLibA_01474	AKR1B10	140	147	156	62	65	67
HGLibA_04836	BROX	145	181	189	154	174	158
HGLibA_12927	DEK	69	58	31	32	29	44
HGLibA_37493	POLD1	69	81	93	77	93	47
HGLibA_20583	GTF3C2	96	74	86	91	101	72
HGLibA_51244	TRAF2	18	7	4	30	0	0
HGLibA_05140	C11orf42	53	72	51	57	65	44
HGLibA_63015	hsa-mir-671	16	16	3	35	26	21
HGLibA_33850	OR2T1	256	244	272	303	299	196
HGLibA_24447	KCTD20	101	69	70	101	135	62
HGLibA_02332	AP3M2	96	48	93	64	146	124
HGLibA_41982	RPL4	66	19	31	19	63	4
HGLibA_25663	KRTAP19-1	69	82	106	86	166	106
HGLibA_21060	HDLBP	88	141	140	143	257	145
HGLibA_28595	MCIDAS	143	159	149	153	210	146
HGLibA_24465	KCTD7	146	174	197	207	196	153
HGLibA_19998	GPR21	52	36	73	76	228	108
HGLibA_07226	CARD16	87	109	110	110	94	71
HGLibA_33906	OR2W3	72	104	141	108	186	131
HGLibA_48493	TBC1D2	48	59	77	23	24	22
HGLibA_18506	GAL3ST4	67	59	105	80	34	42
HGLibA_14212	DVL2	32	34	26	52	49	46
HGLibA_27270	LRRC17	33	22	65	67	48	21
HGLibA_45203	SLC4A1	56	25	58	60	95	49
HGLibA_51684	TRMT2A	102	155	121	170	131	139
HGLibA_35336	PBOV1	62	51	86	97	127	58
HGLibA_27952	MAGEB5	87	75	102	98	111	69
HGLibA_56464	ZNF653	20	2	2	14	8	6
HGLibA_31167	NAT10	81	75	72	64	80	139
HGLibA_57186	hsa-mir-106a	33	23	34	29	7	7
HGLibA_07940	CCDC97	115	126	136	112	221	96
HGLibA_06482	C6orf226	47	50	94	55	112	95
HGLibA_09071	CENPM	67	46	26	45	10	29
HGLibA_30521	MUC1	83	87	51	95	62	44
HGLibA_39961	RAB5A	51	44	74	84	101	64
HGLibA_59226	hsa-mir-3669	38	14	23	33	32	17
HGLibA_38762	PRPS2	63	119	156	147	167	120
HGLibA_57226	hsa-mir-1183	37	51	38	16	36	19
HGLibA_41474	RNF113B	22	14	13	32	15	34
HGLibA_63233	hsa-mir-6768	41	55	53	21	29	29
HGLibA_24336	KCNK9	77	116	104	32	50	52
HGLibA_43093	SDAD1	44	46	25	118	105	23
HGLibA_21607	HLA-DMB	97	68	89	120	76	62
HGLibA_38606	PRLR	93	105	136	176	134	150
HGLibA_41060	RGS13	160	165	162	46	120	102
HGLibA_39389	PTK7	179	166	161	210	368	168
HGLibA_60384	hsa-mir-4491	156	157	166	200	311	209
HGLibA_20995	HCST	88	155	108	104	216	117
HGLibA_21782	HNF4G	180	149	188	124	222	158
HGLibA_05441	C16orf13	69	104	97	110	139	134
HGLibA_13388	DLX6	115	107	114	93	110	124
HGLibA_62769	hsa-mir-632	77	48	48	73	35	52
HGLibA_19987	GPR182	122	171	231	141	169	168
HGLibA_18532	GALNT11	227	205	221	126	183	95
HGLibA_44946	SLC35A1	61	40	17	20	35	34
HGLibA_53983	WBP4	89	62	79	150	59	95
HGLibA_51535	TRIM5	73	85	76	66	181	67
HGLibA_12237	CYTH2	135	147	198	164	244	128
HGLibA_40178	RALYL	155	173	256	207	284	147
HGLibA_12578	DCUN1D5	49	66	45	126	46	61
HGLibA_48923	TDRP	125	97	79	57	89	109
HGLibA_26506	LILRB1	83	66	84	37	56	76
HGLibA_33350	OLFM3	59	76	86	63	62	100
HGLibA_58328	hsa-mir-23a	76	70	59	72	73	94
HGLibA_48004	SYNJ1	54	57	93	70	43	52
HGLibA_14909	ELFN2	120	193	144	134	203	150
HGLibA_00933	ADCY9	145	141	112	112	114	97
HGLibA_65289	NonTargetingControlGuideForHuman_0906	109	114	179	168	96	98
HGLibA_19385	GLYR1	30	37	43	47	47	68
HGLibA_48212	TAF1A	131	137	149	189	177	106
HGLibA_58066	hsa-mir-1915	150	105	85	54	68	66
HGLibA_31796	NFE2L3	75	50	82	48	62	61
HGLibA_44434	SLC16A2	105	86	133	141	89	79
HGLibA_42111	RPS23	97	101	26	114	189	35
HGLibA_49423	THY1	81	84	74	112	129	47
HGLibA_51809	TSACC	71	68	81	114	108	78
HGLibA_05594	C17orf96	139	119	114	163	160	151
HGLibA_03636	ATP4B	52	63	52	62	80	81
HGLibA_54594	XRCC5	89	76	37	32	81	45
HGLibA_36519	PIBF1	45	37	50	65	23	61
HGLibA_36981	PLCB2	37	37	44	46	29	15
HGLibA_62675	hsa-mir-6131	311	226	357	322	380	263
HGLibA_24387	KCNS2	84	69	71	80	193	66
HGLibA_65034	NonTargetingControlGuideForHuman_0651	88	56	112	86	133	107
HGLibA_28625	MCM8	34	51	58	33	31	17
HGLibA_15787	EXOSC6	114	128	128	91	151	120
HGLibA_29937	MRPL24	104	78	88	129	157	136
HGLibA_38739	PRPF4B	99	94	140	78	105	105
HGLibA_63326	hsa-mir-6787	74	55	74	52	78	39
HGLibA_64495	NonTargetingControlGuideForHuman_0112	66	49	58	31	23	27
HGLibA_57869	hsa-mir-1471	91	57	85	121	122	65
HGLibA_60189	hsa-mir-4446	21	67	46	67	104	30
HGLibA_02961	ARL2BP	37	53	73	80	127	78
HGLibA_30043	MRPS16	89	84	76	73	105	90
HGLibA_09053	CENPF	118	126	111	120	135	116
HGLibA_19984	GPR180	93	66	70	133	180	57
HGLibA_31022	NAB2	123	164	156	161	119	109
HGLibA_33591	OR12D3	138	114	138	94	147	121
HGLibA_63968	hsa-mir-7845	85	102	92	121	117	68
HGLibA_41814	RPAP1	125	133	115	118	162	150
HGLibA_26517	LILRB4	134	107	69	230	200	97
HGLibA_29374	MLF1IP	62	57	54	103	69	73
HGLibA_26250	LDLRAD4	123	71	118	80	183	78
HGLibA_58065	hsa-mir-1915	56	66	81	71	91	78
HGLibA_25637	KRTAP12-3	97	143	107	98	93	108
HGLibA_65218	NonTargetingControlGuideForHuman_0835	64	33	60	27	81	44
HGLibA_14603	EFNB3	38	33	65	80	57	39
HGLibA_18295	G2E3	111	116	151	166	45	92
HGLibA_02547	APOM	13	57	24	10	0	19
HGLibA_16534	FAM228A	14	12	11	4	0	8
HGLibA_64240	hsa-mir-890	111	209	131	148	146	138
HGLibA_36508	PIAS1	172	129	140	134	264	116
HGLibA_22774	IFT80	87	83	65	53	109	54
HGLibA_27351	LRRC4	143	153	109	173	165	130
HGLibA_34278	OR5D14	26	22	30	17	61	36
HGLibA_43322	SEMA3B	113	114	68	112	212	82
HGLibA_60931	hsa-mir-4708	113	94	82	138	127	167
HGLibA_33982	OR4D9	49	52	59	48	40	32
HGLibA_52763	UBR7	28	7	16	8	9	29
HGLibA_62029	hsa-mir-548j	88	72	72	67	139	63
HGLibA_22231	HSF5	49	32	75	76	92	67
HGLibA_01401	AK9	128	130	101	168	211	105
HGLibA_49409	THSD7B	145	94	128	145	264	174
HGLibA_19404	GMFB	49	47	49	25	76	43
HGLibA_42983	SCN2B	252	242	248	234	320	250
HGLibA_53867	VSTM2L	125	110	142	181	226	115
HGLibA_28953	METTL12	109	136	103	99	159	101
HGLibA_26283	LELP1	93	87	88	229	130	113
HGLibA_58047	hsa-mir-1910	71	83	85	30	122	40
HGLibA_08519	CDC20	36	31	31	37	20	36
HGLibA_33430	OPN1SW	138	106	137	108	91	116
HGLibA_44086	SHROOM1	138	76	102	143	129	59
HGLibA_49507	TIMM21	50	90	60	50	46	16
HGLibA_36008	PEAR1	131	89	118	110	177	173
HGLibA_09999	CLEC5A	176	211	145	240	172	108
HGLibA_01783	AMH	78	101	112	151	179	105
HGLibA_38558	PRKCQ	154	138	125	252	197	159
HGLibA_59028	hsa-mir-345	61	61	38	41	62	26
HGLibA_11652	CTNNBIP1	75	67	98	51	73	77
HGLibA_20456	GSTA3	165	143	196	245	184	83
HGLibA_56710	ZNF772	155	147	133	169	214	121
HGLibA_51172	TPPP3	48	48	61	32	44	58
HGLibA_40302	RASA3	111	107	118	183	171	139
HGLibA_29178	MGST2	182	207	219	245	266	263
HGLibA_48569	TBC1D8B	204	141	178	137	190	162
HGLibA_15241	EPB41L1	90	66	84	116	160	91
HGLibA_24811	KIAA1731	106	105	138	95	200	138
HGLibA_14477	EDNRA	125	143	144	132	116	85
HGLibA_02984	ARL6	122	197	187	152	293	118
HGLibA_12015	CYBA	123	121	132	93	55	59
HGLibA_30492	MTRR	180	217	241	273	336	240
HGLibA_21336	HIP1R	133	83	58	41	71	57
HGLibA_24689	KIAA1045	23	42	44	6	99	32
HGLibA_12183	CYP4F12	83	69	59	98	20	63
HGLibA_30359	MTFP1	90	75	90	112	176	67
HGLibA_40067	RAD21L1	48	47	70	80	41	79
HGLibA_13803	DOPEY2	77	63	35	59	59	74
HGLibA_57409	hsa-mir-1253	67	50	44	18	52	34
HGLibA_50605	TMPO	113	120	85	130	129	108
HGLibA_35044	PAK2	216	247	255	262	352	227
HGLibA_16682	FAM69C	67	49	90	76	60	63
HGLibA_20778	H3F3A	92	74	108	140	48	67
HGLibA_30515	MTX2	79	77	55	100	75	71
HGLibA_11132	CREM	27	41	9	12	21	17
HGLibA_33926	OR4A16	173	153	130	229	218	165
HGLibA_48123	TAAR1	56	34	32	28	29	64
HGLibA_04677	BOK	139	83	75	81	95	99
HGLibA_29001	METTL2A	49	61	80	61	75	52
HGLibA_36404	PHKA2	116	144	128	172	161	88
HGLibA_59713	hsa-mir-4251	111	105	80	81	72	42
HGLibA_38007	PPP1CB	7	10	19	0	22	32
HGLibA_26200	LCP1	69	95	130	93	80	60
HGLibA_08190	CCSER1	131	208	193	89	196	130
HGLibA_64029	hsa-mir-7975	89	62	73	116	120	134
HGLibA_26133	LCE3B	120	111	156	87	283	120
HGLibA_65362	NonTargetingControlGuideForHuman_0979	24	11	32	30	60	39
HGLibA_30201	MSH6	66	41	84	50	84	59
HGLibA_61788	hsa-mir-525	60	104	102	106	224	150
HGLibA_49492	TIMM10	352	314	262	385	384	182
HGLibA_36616	PIH1D3	149	129	108	83	135	99
HGLibA_16167	FAM153A	74	42	38	54	66	50
HGLibA_24778	KIAA1549	126	157	146	109	250	210
HGLibA_23937	JARID2	129	89	95	146	132	100
HGLibA_16009	FAM109B	55	49	26	17	147	22
HGLibA_52672	UBE2W	182	119	90	138	81	91
HGLibA_16563	FAM26E	62	34	58	67	37	56
HGLibA_13050	DGCR6	107	55	56	105	99	67
HGLibA_26896	LOC154872	151	144	209	72	144	137
HGLibA_46871	SPTA1	51	72	99	121	167	79
HGLibA_30376	MTHFD1	117	130	113	129	213	89
HGLibA_11373	CSN1S1	103	154	101	40	90	57
HGLibA_36847	PKNOX1	49	49	50	39	28	18
HGLibA_30642	MYBL1	93	132	143	72	102	144
HGLibA_50876	TNNI3	125	118	129	176	194	93
HGLibA_46026	SNX10	106	105	156	92	56	82
HGLibA_05252	C12orf49	104	140	116	132	75	78
HGLibA_21227	HFE2	47	28	53	156	83	101
HGLibA_44655	SLC25A16	125	83	95	160	185	131
HGLibA_09102	CEP120	54	72	83	128	72	58
HGLibA_62857	hsa-mir-6501	49	88	75	41	46	45
HGLibA_49176	TFF3	81	125	120	76	44	110
HGLibA_23593	IRF5	108	85	110	92	125	102
HGLibA_17635	FLJ45513	62	43	63	38	104	101
HGLibA_00750	ADAM2	20	47	14	5	6	6
HGLibA_44510	SLC1A2	63	81	91	52	88	63
HGLibA_33313	OGFOD3	117	110	102	153	156	119
HGLibA_18231	FXYD3	63	48	70	110	132	93
HGLibA_64489	NonTargetingControlGuideForHuman_0106	62	92	73	67	40	30
HGLibA_22560	IDNK	86	96	51	122	138	78
HGLibA_31881	NGLY1	41	51	37	69	104	46
HGLibA_18801	GCM1	182	174	185	173	155	88
HGLibA_06325	C4orf36	133	154	163	164	229	103
HGLibA_59553	hsa-mir-3919	118	186	171	151	238	95
HGLibA_61839	hsa-mir-548a-2	149	213	159	188	203	156
HGLibA_50043	TMEM167B	70	47	69	47	51	16
HGLibA_57316	hsa-mir-1229	116	145	118	132	120	72
HGLibA_31931	NIM1	40	17	16	23	56	32
HGLibA_56101	ZNF496	126	52	85	79	77	80
HGLibA_57517	hsa-mir-1270-1	245	199	196	280	196	249
HGLibA_57989	hsa-mir-1827	24	5	16	0	0	0
HGLibA_51959	TSPO	210	208	168	285	320	265
HGLibA_44647	SLC25A14	144	142	121	107	108	122
HGLibA_34899	P4HA1	100	106	163	92	46	94
HGLibA_09156	CEP68	49	31	38	69	79	76
HGLibA_41706	RNFT2	58	60	110	46	109	48
HGLibA_53401	USP54	112	99	103	97	224	63
HGLibA_06631	C8orf47	41	36	30	51	74	76
HGLibA_63099	hsa-mir-6736	104	47	63	61	64	75
HGLibA_62335	hsa-mir-5700	34	39	34	29	1	44
HGLibA_60658	hsa-mir-4638	56	111	58	47	46	76
HGLibA_17385	FGF18	170	211	201	233	178	111
HGLibA_17441	FGFR1OP2	65	84	41	48	39	22
HGLibA_45309	SLC6A17	116	141	128	129	143	77
HGLibA_44918	SLC30A7	106	130	85	165	178	74
HGLibA_46269	SOX6	92	93	166	132	111	68
HGLibA_46851	SPRYD3	52	61	56	72	45	86
HGLibA_23221	ILK	153	125	164	117	102	107
HGLibA_64880	NonTargetingControlGuideForHuman_0497	216	193	199	148	217	206
HGLibA_02555	APOOL	75	69	76	47	13	18
HGLibA_11651	CTNNB1	128	148	223	148	285	137
HGLibA_23441	INVS	65	87	103	111	105	102
HGLibA_57767	hsa-mir-1324	83	85	55	79	156	64
HGLibA_42783	SATL1	78	100	86	133	87	54
HGLibA_63420	hsa-mir-6811	40	82	53	43	29	87
HGLibA_37386	PNMAL2	113	124	119	107	77	45
HGLibA_07773	CCDC39	113	100	108	122	279	117
HGLibA_41363	RMDN1	46	86	58	75	173	49
HGLibA_02935	ARL14	74	38	101	55	198	74
HGLibA_48066	SYT16	78	55	42	71	140	39
HGLibA_16530	FAM227B	95	67	86	61	123	38
HGLibA_09591	CHRNB2	64	66	38	91	70	90
HGLibA_26931	LOC389895	112	111	134	144	178	87
HGLibA_46737	SPNS2	177	121	175	180	204	186
HGLibA_08874	CDRT15	112	80	96	97	66	47
HGLibA_41847	RPH3AL	98	146	122	108	162	123
HGLibA_20874	HAUS1	20	1	10	0	0	0
HGLibA_48586	TBCCD1	46	58	68	68	130	52
HGLibA_34512	OR8D2	52	51	82	160	63	55
HGLibA_02698	ARHGAP1	191	287	212	235	238	214
HGLibA_39621	PVRL1	28	17	8	31	21	14
HGLibA_36856	PKP2	97	116	82	150	107	73
HGLibA_38214	PPP5D1	29	20	31	64	60	40
HGLibA_56607	ZNF71	82	117	116	91	44	68
HGLibA_28399	MAST1	69	50	64	103	73	26
HGLibA_06648	C8orf76	53	60	34	65	131	75
HGLibA_01764	AMDHD2	89	112	101	119	124	118
HGLibA_08619	CDCA8	22	28	7	21	9	3
HGLibA_39616	PVR	103	116	188	128	166	115
HGLibA_37352	PNKP	79	85	79	133	184	35
HGLibA_16910	FASTKD5	107	82	63	75	126	84
HGLibA_44646	SLC25A13	76	84	85	68	146	157
HGLibA_08222	CCZ1	157	200	170	235	205	209
HGLibA_36673	PILRB	144	177	151	149	256	134
HGLibA_18531	GALNT10	28	41	38	49	14	26
HGLibA_63357	hsa-mir-6795	173	135	176	218	213	126
HGLibA_14486	EED	123	120	97	117	97	132
HGLibA_23825	ITLN2	37	42	41	44	68	25
HGLibA_29806	MRAP	103	70	93	67	121	88
HGLibA_23852	ITPR1	123	120	143	156	132	124
HGLibA_02816	ARHGEF12	61	79	68	76	86	84
HGLibA_29651	MORC2	76	33	93	60	31	63
HGLibA_43457	SEP9	63	47	69	63	77	91
HGLibA_59450	hsa-mir-378f	32	37	43	86	87	69
